book,chapter,total_verses,total_lines,total_words,avg_words_per_line,avg_chars_per_line,max_line_chars,min_line_chars,lines_per_verse,short_line_ratio,max_consec_short_lines,aictp_count,aictp_rate,future_aictp,isay_count,isay_per_1k,caused_that_count,caused_that_per_1k,began_to_count,began_to_per_1k,question_count,question_per_verse,wo_count,behold_count,behold_per_1k,verily_count,thus_we_see,brethren_count
1nephi,1,20,110,907,8.25,42.4,98,9,5.5,0.182,4,8,0.4,0,0,0.0,0,0.0,1,1.1,0,0.0,0,3,3.31,0,0,0
1nephi,2,24,102,879,8.62,44.5,93,17,4.25,0.167,4,11,0.458,0,0,0.0,0,0.0,0,0.0,0,0.0,0,6,6.83,0,0,0
1nephi,3,31,119,1066,8.96,45.2,82,15,3.84,0.151,2,15,0.484,0,0,0.0,0,0.0,2,1.88,4,0.129,0,14,13.13,0,0,4
1nephi,4,38,161,1262,7.84,38.7,75,9,4.24,0.236,4,10,0.263,0,0,0.0,1,0.79,1,0.79,3,0.079,0,5,3.96,0,0,3
1nephi,5,22,94,761,8.1,42.3,79,14,4.27,0.17,4,4,0.182,0,0,0.0,0,0.0,1,1.31,0,0.0,0,4,5.26,0,0,1
1nephi,6,6,22,202,9.18,44.5,84,13,3.67,0.227,4,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0
1nephi,7,22,113,992,8.78,43.8,80,7,5.14,0.133,2,16,0.727,0,1,1.01,0,0.0,0,0.0,5,0.227,0,8,8.06,0,0,7
1nephi,8,38,146,1221,8.36,41.0,74,15,3.84,0.123,4,17,0.447,0,0,0.0,0,0.0,2,1.64,0,0.0,0,6,4.91,0,0,0
1nephi,9,6,33,259,7.85,40.4,70,5,5.5,0.212,2,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,7.72,0,0,0
1nephi,10,22,114,921,8.08,41.8,99,12,5.18,0.184,6,3,0.136,0,0,0.0,0,0.0,0,0.0,0,0.0,0,2,2.17,0,0,3
1nephi,11,36,167,1315,7.87,38.9,80,5,4.64,0.251,5,12,0.333,0,0,0.0,0,0.0,0,0.0,6,0.167,0,12,9.13,0,0,0
1nephi,12,23,109,860,7.89,40.3,78,5,4.74,0.165,4,9,0.391,0,0,0.0,0,0.0,0,0.0,1,0.043,0,9,10.47,0,0,4
1nephi,13,42,233,1897,8.14,42.0,95,5,5.55,0.159,5,11,0.262,0,0,0.0,0,0.0,0,0.0,2,0.048,0,13,6.85,0,0,7
1nephi,14,30,152,1284,8.45,43.0,81,4,5.07,0.191,3,9,0.3,1,0,0.0,0,0.0,1,0.78,1,0.033,0,11,8.57,0,0,0
1nephi,15,36,178,1489,8.37,43.0,84,5,4.94,0.208,5,8,0.222,0,3,2.01,1,0.67,0,0.0,13,0.361,0,6,4.03,0,0,4
1nephi,16,39,183,1632,8.92,45.2,98,18,4.69,0.12,3,31,0.795,0,0,0.0,0,0.0,2,1.23,1,0.026,0,6,3.68,0,1,8
1nephi,17,55,303,2523,8.33,42.1,83,13,5.51,0.162,4,16,0.291,0,2,0.79,0,0.0,3,1.19,7,0.127,0,8,3.17,0,1,6
1nephi,18,25,135,1216,9.01,46.0,83,20,5.4,0.104,4,15,0.6,0,0,0.0,0,0.0,8,6.58,0,0.0,0,5,4.11,0,0,5
1nephi,19,24,161,1291,8.02,41.7,85,14,6.71,0.186,7,3,0.125,0,0,0.0,0,0.0,0,0.0,0,0.0,0,3,2.32,0,0,1
1nephi,20,22,92,697,7.58,38.0,82,12,4.18,0.283,5,1,0.045,0,0,0.0,0,0.0,0,0.0,2,0.091,0,3,4.3,0,0,0
1nephi,21,26,127,955,7.52,37.7,84,12,4.88,0.213,5,0,0.0,0,0,0.0,0,0.0,0,0.0,5,0.192,0,6,6.28,0,0,0
1nephi,22,31,184,1506,8.18,42.3,82,5,5.94,0.185,4,1,0.032,2,1,0.66,0,0.0,0,0.0,2,0.065,0,9,5.98,0,0,4
2nephi,1,32,177,1543,8.72,45.1,110,10,5.53,0.153,4,1,0.031,0,0,0.0,0,0.0,0,0.0,0,0.0,0,14,9.07,0,0,1
2nephi,2,30,195,1456,7.47,39.1,82,5,6.5,0.246,6,0,0.0,0,0,0.0,1,0.69,0,0.0,0,0.0,0,4,2.75,0,0,0
2nephi,3,25,141,1168,8.28,41.7,79,5,5.64,0.149,3,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,6,5.14,0,0,0
2nephi,4,35,177,1299,7.34,37.2,83,5,5.06,0.271,5,5,0.143,0,0,0.0,1,0.77,0,0.0,7,0.2,0,11,8.47,0,0,0
2nephi,5,34,134,1168,8.72,44.6,84,11,3.94,0.149,3,9,0.265,0,0,0.0,1,0.86,2,1.71,0,0.0,0,6,5.14,0,0,2
2nephi,6,18,110,895,8.14,42.7,81,20,6.11,0.164,2,0,0.0,0,0,0.0,0,0.0,0,0.0,1,0.056,0,8,8.94,0,0,1
2nephi,7,11,55,404,7.35,36.1,59,18,5.0,0.182,4,0,0.0,0,0,0.0,0,0.0,0,0.0,8,0.727,0,4,9.9,0,0,0
2nephi,8,25,121,812,6.71,33.8,63,7,4.84,0.273,5,0,0.0,0,0,0.0,0,0.0,0,0.0,6,0.24,0,3,3.69,0,0,0
2nephi,9,54,303,2388,7.88,41.1,101,5,5.61,0.224,7,0,0.0,1,0,0.0,0,0.0,0,0.0,3,0.056,10,13,5.44,0,0,11
2nephi,10,25,126,966,7.67,40.5,76,5,5.04,0.27,7,0,0.0,1,0,0.0,0,0.0,0,0.0,1,0.04,0,5,5.18,0,0,4
2nephi,11,8,40,338,8.45,42.0,64,14,5.0,0.125,5,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,1,2.96,1,0,0
2nephi,12,22,87,644,7.4,36.9,71,16,3.95,0.218,5,0,0.0,2,0,0.0,0,0.0,0,0.0,1,0.045,0,0,0.0,0,0,0
2nephi,13,26,87,584,6.71,35.2,71,7,3.35,0.322,7,0,0.0,1,0,0.0,0,0.0,0,0.0,1,0.038,2,1,1.71,0,0,0
2nephi,14,6,23,202,8.78,44.0,72,24,3.83,0.13,6,0,0.0,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0,0
2nephi,15,30,119,854,7.18,37.1,65,8,3.97,0.277,7,0,0.0,0,0,0.0,0,0.0,0,0.0,1,0.033,6,4,4.68,0,0,0
